Name;Birth and death years;Nationality;Pronouns;Notable as;Ref.
Robin Daniel Skinner (a.k.a. Cavetown);1998;British;he/him, they/them;singer-songwriter, record producer, YouTuber;[416][417]
Nyke Slawik;1994;German;she/her;politician;[418]
Brian Michael Smith;1983;American;he/him;actor;[419]
Gwendolyn Ann Smith;1967;;she/her;activist, writer, founder of Transgender Day of Remembrance;[420]
Misty Snow;1985;American;she/her;first transgender nominee to the United States Senate from a major political party;[353]
Kylie Sonique Love (a.k.a. Sonique);1983;American;she/her (both in and out of drag);drag queen and model.;[421]
Theresa Sparks;1949;American;she/her;politician and entrepreneur;[422]
Rae Spoon;1982;Canadian;they/them;musician;[423]
Susan Stanton;1959;American;she/her;politician;[424]
Jahna Steele;1958–2008;American;she/her;showgirl, actress, writer;[425]
Abby Stein;1991;American;she/her;writer, speaker and activist;[426]
ND Stevenson;1991;American;he/him;cartoonist and animation producer;[427][428]
Georgie Stone;2000;Australian;she/her;activist;[429]
Sandy Stone;1940s;American;she/her;educator;[430]
Stav Strashko;1992;Ukrainian-born Israeli;she/her;model and actress;[431]
Margaret Stumpp;1952;American;she/her;executive;[432]
Kalki Subramaniam;;Indian;she/her;transgender rights activist, artist, writer and entrepreneur;[433]
Lou Sullivan;1951–1991;American;he/him;author and activist;[434]
J.E. Sumerau;;American;she/they;novelist and scholar;
Feroza Syed;;American;she/her;activist of Indian descent;[435][436]
Titica;1987;Angolan;she/her;singer, songwriter, dancer and activist;[437]
Lea  T;1981;Brazilian;she/her;fashion model;[438]
Cindy  Thái Tài;1981;Vietnamese;she/her;singer, model;[439]
Jenna Talackova;1988;Canadian;she/her;model and beauty pageant contestant;[440]
Audrey Tang;1981;Taiwanese;she/her;free software programmer and Digital Minister;[441][442]
Robyn Leigh Tanguay;1966;American;she/her;scientist;[443]
Maddie Taylor;1966;American;she/her;voice actress;[444]
Ramon  Te Wake;1976;New Zealand;she/her;television presenter;[445]
Brandon Teena;1972–1993;American;he/him;"murder victim; subject of the film Boys Don't Cry";[446]
Terre Thaemlitz;1968;American;;musician, DJ and transgender educator;[447]
Aiden Thomas;;American;"he/him;  they/them";author of young adult novels;[448]
Abigail Thorn;1993;British;she/her;"actress and YouTuber who runs the channel ""Philosophy Tube""";[449][450]
Jeanne Thornton;1989;American;she/her;writer and copublisher of Instar Books and Rocksalt Magazine;[451][452]
Maddy Thorson;1988;Canadian;she/her;Video game developer;[453]
Efrat Tilma;1947;Israeli;she/her;activist and policewoman;[454]
Billy Tipton;1914–1989;American;he/him;musician;[455]
Brianna Titone;1978;American;she/her;politician and activist;[456]
Josie Totah;2001;American;she/her;actress;[457]
Manuela Trasobares;1962;Spanish;she/her;artist and politician;[458]
Gabrielle Tremblay;1990;Canadian;she/her;writer and actress;[459]
Justine Tunney;1985;;she/her;software developer, former Occupy movement activist and blogger;[460][461]
Gabbi Tuft;1978;American;she/her;professional wrestler;[462]
Zoey Tur;1960;American;she/her;TV reporter, scientist, and helicopter pilot;[463]
Karen Ulane;1941–1989;American;she/her;"pilot fired by Eastern Airlines; discrimination case set Title VII precedent for transgender people";[464]
Natalie  van Gogh;1974;Dutch;she/her;professional racing cyclist;[465]
Daniela Vega;1989;Chilean;she/her;actress and mezzo-soprano singer;[466]
Rose Venkatesan;1980;Indian;she/her;TV anchor;[467]
Jennifer Ventimilia;;American;she/her;television writer;[468]
Venus Flytrap;;Thai;;pop group;[469]
Anne Viriato;1997;;she/her;Brazilian mixed martial arts fighter;[470]
Lana  Wachowski;1965;American;she/her;filmmaker, producer, comic book writer, screenwriter, co-director of the Matrix films;[471]
Lily Wachowski;1967;American;she/her;film and TV director, screenwriter, producer, comic book writer, video game director, video game writer;[472]
Annie Wallace;1965;British;she/her;actress, first transgender person to portray a regular character in British soap opera history;[473]
Lachlan Watson;2001;American;they/them;actor;[474]
Brianna Westbrook;1984;American;she/her;democratic socialist politician and civil rights activist;[475]
Janine Wegman;1925–2007;Dutch;she/her;musician and artist;
Penny Whetton;1958–2019;Australian;she/her;climatologist and environmental activist;[476]
Blaire White;1993;American;she/her;YouTuber;[477]
Stephen Whittle;1955;British;he/him;lawyer, writer, educator and transgender activist;[478]
Barbara Ann Wilcox;1912–1962;American;she/her;One of the first American trans people to legally change their name.;[479]
Demoria Elise Williams (a.k.a. Kornbread Jeté);1992;African-American;she/her;Drag queen, most known from RuPaul's Drag Race (season 14).;[480]
Raquel Willis;1990/1;American;she/her;writer, activist, and Transgender Law Center national organizer;[481]
Sophie Wilson;1957;British;she/her;computer scientist;[482]
Jia Qing  Wilson-Yang;1986;Canadian;she/her;writer;[483]
Joanne Wingate;1960;English;she/her;soldier;[484]
Holly Woodlawn;1946–2015;Puerto Rican;she/her;actor and performer;[485]
Narcissa Wright;1989;American;she/her;video game speedrunner and website creator;[486]
Natalie Wynn (a.k.a. ContraPoints);1988;American;she/her;YouTuber;[487][488]
Sophie Xeon;1986–2021;Scottish;prefers not to use pronouns;electronic musician;[489]
Philippa York;1958;Scottish;she/her;journalist and cyclist;[490]
Marie-Pier Ysser;1935;French;she/her;entertainer and academic;[491]
Jake Zyrus;1992;Filipino;he/him;singer;[492]
